Date,01/02/2020,Material,Brass,6min,,,,
Time,TempOne,TempTwo,TempThree,TempFour,TempFive,TempSix,TempSeven,Atmospheric
53646,311.59,286.84,284.71,284.65,284.71,287.28,287.71,283.84
53783,311.59,286.84,284.71,284.65,284.71,287.28,287.71,283.84
53920,311.78,286.84,284.71,284.65,284.71,287.28,287.71,283.84
54057,311.78,286.9,284.71,284.65,284.71,287.34,287.71,283.84
54195,311.9,286.9,284.71,284.65,284.71,287.34,287.78,283.84
54332,311.9,286.9,284.71,284.65,284.78,287.4,287.78,283.84
54470,312.15,286.96,284.71,284.65,284.78,287.4,287.78,283.84
54607,312.15,286.96,284.78,284.65,284.78,287.34,287.78,283.84
54745,312.4,286.96,284.78,284.71,284.78,287.34,287.78,283.84
54882,312.65,286.96,284.78,284.71,284.71,287.34,287.78,283.84
55019,312.65,287.09,284.78,284.65,284.78,287.4,287.78,283.9
55156,312.84,287.09,284.78,284.71,284.78,287.4,287.84,283.84
55294,312.84,287.09,284.84,284.71,284.71,287.4,287.84,283.84
55432,313.03,287.15,284.84,284.65,284.71,287.4,287.84,283.84
55569,313.03,287.15,284.78,284.65,284.78,287.4,287.84,283.84
55706,313.21,287.15,284.84,284.71,284.78,287.4,287.84,283.78
55843,313.21,287.15,284.84,284.71,284.71,287.4,287.84,283.78
55981,313.46,287.21,284.84,284.71,284.71,287.4,287.84,283.78
56118,313.71,287.21,284.84,284.71,284.71,287.4,287.84,283.84
56256,313.71,287.21,284.84,284.71,284.71,287.4,287.84,283.84
56393,313.9,287.28,284.84,284.71,284.71,287.4,287.84,283.84
56530,313.9,287.28,284.84,284.71,284.71,287.46,287.84,283.84
56668,314.09,287.34,284.84,284.71,284.71,287.46,287.9,283.78
56805,314.09,287.34,284.84,284.78,284.71,287.4,287.9,283.78
56942,314.34,287.34,284.9,284.78,284.71,287.4,287.9,283.78
57080,314.34,287.34,284.9,284.78,284.78,287.46,287.9,283.78
57218,314.53,287.4,284.9,284.78,284.78,287.46,287.9,283.78
57355,314.71,287.46,284.9,284.78,284.78,287.46,287.9,283.84
57492,314.71,287.46,284.9,284.78,284.78,287.46,287.9,283.84
57629,314.96,287.46,284.9,284.71,284.78,287.46,287.9,283.78
57766,314.96,287.46,284.9,284.78,284.78,287.53,287.9,283.78
57905,315.09,287.53,284.9,284.78,284.84,287.53,287.9,283.78
58042,315.09,287.53,284.9,284.78,284.84,287.46,287.9,283.78
58179,315.4,287.53,284.9,284.78,284.78,287.46,287.9,283.71
58316,315.4,287.59,284.9,284.78,284.84,287.46,287.9,283.71
58454,315.59,287.59,284.96,284.78,284.84,287.46,287.96,283.71
58591,315.9,287.65,284.96,284.78,284.78,287.53,287.96,283.71
58728,315.9,287.65,284.96,284.78,284.78,287.53,287.96,283.71
58866,316.09,287.65,284.96,284.78,284.78,287.59,287.96,283.71
59003,316.09,287.65,284.96,284.78,284.78,287.59,287.96,283.71
59141,316.34,287.78,285.03,284.78,284.78,287.59,287.96,283.71
59278,316.34,287.78,285.03,284.78,284.78,287.59,287.96,283.71
59415,316.59,287.78,285.03,284.78,284.84,287.59,287.96,283.78
59552,316.59,287.84,285.03,284.78,284.84,287.59,287.96,283.78
59691,316.84,287.84,285.03,284.84,284.78,287.59,287.96,283.78
59828,316.84,287.84,285.03,284.84,284.78,287.59,288.03,283.78
59965,317.09,287.84,285.03,284.78,284.78,287.59,288.03,283.78
60102,317.28,287.9,285.09,284.78,284.78,287.65,288.03,283.71
60239,317.28,287.96,285.09,284.84,284.78,287.59,288.03,283.71
60377,317.59,287.96,285.03,284.84,284.84,287.59,288.09,283.71
60515,317.59,287.96,285.03,284.84,284.84,287.65,288.09,283.71
60652,317.84,287.96,285.09,284.84,284.78,287.65,288.03,283.71
60789,317.84,288.09,285.15,284.84,284.78,287.65,288.03,283.78
60926,318.09,288.09,285.15,284.84,284.84,287.65,288.09,283.78
61064,318.09,288.09,285.15,284.84,284.84,287.59,288.09,283.78
61201,318.34,288.03,285.15,284.84,284.84,287.59,288.09,283.78
61338,318.59,288.03,285.15,284.84,284.84,287.65,288.03,283.78
61476,318.59,288.03,285.15,284.9,284.84,287.65,288.03,283.78
61614,318.9,288.03,285.15,284.9,284.84,287.65,288.09,283.84
61751,318.9,288.15,285.15,284.84,284.84,287.65,288.09,283.78
61888,319.21,288.15,285.15,284.84,284.9,287.65,288.09,283.78
62025,319.21,288.15,285.15,284.9,284.9,287.65,288.09,283.84
62162,319.46,288.21,285.15,284.9,284.84,287.65,288.15,283.84
62300,319.46,288.21,285.21,284.9,284.84,287.71,288.15,283.78
62438,319.78,288.21,285.21,284.9,284.84,287.71,288.15,283.78
62575,320.03,288.21,285.21,284.9,284.84,287.71,288.15,283.78
62712,320.03,288.28,285.21,284.9,284.9,287.71,288.15,283.71
62850,320.28,288.28,285.21,284.9,284.84,287.71,288.15,283.71
62987,320.28,288.4,285.21,284.9,284.84,287.71,288.15,283.71
63124,320.59,288.4,285.21,284.9,284.9,287.71,288.15,283.71
63261,320.59,288.4,285.21,284.96,284.9,287.71,288.15,283.78
63399,320.84,288.46,285.21,284.96,284.9,287.71,288.15,283.78
63537,320.84,288.46,285.21,284.9,284.9,287.78,288.15,283.78
63674,321.15,288.53,285.28,284.9,284.9,287.78,288.21,283.78
63811,321.4,288.53,285.28,284.96,284.9,287.78,288.21,283.71
63948,321.4,288.53,285.28,284.96,284.9,287.78,288.21,283.71
64086,321.65,288.65,285.28,284.96,284.9,287.78,288.21,283.71
64224,321.65,288.65,285.28,284.96,284.9,287.78,288.21,283.71
64361,321.96,288.65,285.28,284.96,284.9,287.78,288.21,283.71
64498,321.96,288.65,285.34,284.96,284.9,287.78,288.21,283.71
64635,322.28,288.71,285.28,284.96,284.9,287.78,288.21,283.71
64773,322.28,288.71,285.28,284.96,284.9,287.84,288.21,283.71
64910,322.53,288.78,285.28,284.96,284.9,287.84,288.21,283.71
65047,322.78,288.78,285.28,284.96,284.9,287.84,288.21,283.71
