Date,07/02/2020,Material,Brass,6min heating,,,,
Time,TempOne,TempTwo,TempThree,TempFour,TempFive,TempSix,TempSeven,Atmospheric
39222,298.34,285.71,284.9,283.34,283.15,283.53,283.28,285.96
39360,298.46,285.71,284.9,283.34,283.15,283.53,283.28,285.96
39497,298.46,285.71,284.84,283.4,283.21,283.53,283.28,285.96
39634,298.59,285.71,284.84,283.4,283.21,283.53,283.28,285.96
39772,298.71,285.71,284.84,283.4,283.21,283.53,283.28,285.96
39909,298.71,285.71,284.84,283.4,283.21,283.53,283.28,285.96
40046,298.84,285.71,284.84,283.34,283.15,283.53,283.21,285.96
40184,298.84,285.71,284.84,283.34,283.21,283.53,283.21,285.96
40322,298.9,285.78,284.84,283.4,283.21,283.53,283.21,285.96
40459,298.9,285.78,284.84,283.4,283.21,283.53,283.28,285.96
40596,299.02,285.78,284.84,283.4,283.21,283.53,283.28,285.9
40733,299.21,285.78,284.9,283.4,283.21,283.53,283.28,285.96
40870,299.21,285.78,284.9,283.4,283.21,283.53,283.28,285.96
41008,299.27,285.78,284.9,283.34,283.21,283.53,283.28,286.03
41146,299.27,285.78,284.9,283.34,283.21,283.53,283.21,286.03
41283,299.4,285.78,284.9,283.34,283.21,283.53,283.21,285.96
41420,299.4,285.78,284.9,283.34,283.21,283.53,283.28,285.96
41558,299.59,285.78,284.9,283.34,283.15,283.53,283.28,286.03
41695,299.65,285.78,284.9,283.34,283.15,283.53,283.28,286.03
41832,299.65,285.78,284.9,283.34,283.15,283.53,283.28,286.03
41970,299.77,285.78,284.84,283.34,283.21,283.53,283.28,286.03
42107,299.77,285.78,284.9,283.4,283.21,283.53,283.28,286.03
42245,299.84,285.84,284.9,283.4,283.15,283.53,283.21,286.03
42382,299.84,285.84,284.9,283.34,283.15,283.53,283.28,286.03
42519,300.02,285.84,284.9,283.34,283.21,283.59,283.28,286.03
42656,300.15,285.84,284.9,283.34,283.21,283.59,283.28,285.96
42793,300.15,285.84,284.9,283.34,283.21,283.53,283.28,285.96
42932,300.21,285.84,284.9,283.34,283.15,283.53,283.28,286.03
43069,300.21,285.84,284.9,283.34,283.15,283.53,283.28,286.03
43206,300.34,285.9,284.9,283.34,283.21,283.53,283.21,286.03
