time (s),temp0,temp1,temp2,temp3,temp4,temp5,temp6,alpha value:,3.81E-05
96.17,287.7916342,290.6436837,291.366055,290.4126554,288.6705736,286.8237467,285.3721666,,
97.54,287.7339526,290.5643783,291.3047602,290.3848915,288.6678554,286.8304121,285.3782821,,
98.92,287.6772457,290.4860089,291.2435773,290.3565697,288.6645172,286.8367457,285.3842865,,
100.29,287.6222856,290.4096704,291.1833962,290.3281265,288.6606243,286.842656,285.3900871,,
101.66,287.5686094,290.3347501,291.1237736,290.2993828,288.6561715,286.8481911,285.3957231,,
103.04,287.515794,290.2606783,291.0642817,290.2701494,288.6511367,286.8533886,285.4012291,,
104.41,287.4645617,290.1884915,291.0057833,290.2408726,288.6456093,286.8581749,285.4065212,,
105.79,287.4141231,290.1170998,290.9474244,290.2111467,288.6395247,286.8626217,285.4116727,,
107.16,287.3651699,290.0475033,290.89005,290.1814229,288.6329868,286.866667,285.4166055,,
108.53,287.3172952,289.9791467,290.8332339,290.1515059,288.6259688,286.8703469,285.4213546,,
109.91,287.2701254,289.911512,290.7765659,290.1211939,288.6184292,286.8736873,285.4259498,,
111.28,287.2243097,289.8455481,290.7208651,290.0909436,288.6104923,286.8766429,285.4303221,,
112.66,287.1791462,289.7802615,290.6653155,290.0603303,288.6020566,286.8792603,285.4345334,,
114.03,287.1352581,289.7165689,290.6107195,290.0298134,288.5932588,286.8815053,285.4385207,,
115.41,287.0919741,289.6535119,290.5562765,289.9989626,288.5839841,286.8834144,285.4423408,,
116.78,287.049893,289.5919769,290.502772,289.9682392,288.5743807,286.8849641,285.4459372,,
118.15,287.0086701,289.5314765,290.4498056,289.9374335,288.5643959,286.8861736,285.4493373,,
119.53,286.9679873,289.4715544,290.3969926,289.9063326,288.5539656,286.8870525,285.4525631,,
120.9,286.9284089,289.4130542,290.3450939,289.8753993,288.5432535,286.8875924,285.4555676,,
122.28,286.8893324,289.3550974,290.2933474,289.8441939,288.5321157,286.887806,285.4583944,,
123.65,286.8513007,289.2985005,290.2424984,289.8131793,288.5207254,286.8876949,285.4610025,,
125.03,286.8137358,289.2424143,290.1917996,289.7819133,288.5089282,286.8872624,285.4634303,,
126.4,286.7771605,289.1876296,290.1419808,289.7508587,288.4969063,286.8865195,285.4656431,,
127.77,286.7412793,289.1337156,290.0926677,289.7197984,288.4845864,286.8854694,285.4676598,,
129.15,286.7058177,289.0802672,290.0435008,289.6885144,288.4718862,286.8841061,285.4694938,,
130.52,286.6712705,289.0280391,289.9951874,289.6574683,288.4590001,286.8824544,285.4711196,,
131.9,286.6371145,288.9762492,289.9470167,289.626215,288.4457504,286.8804955,285.4725619,,
133.27,286.6038269,288.9256291,289.8996815,289.5952146,288.4323389,286.8782629,285.4738013,,
134.64,286.5711408,288.8757824,289.8528256,289.5642477,288.4186802,286.8757487,285.4748503,,
136.02,286.5388076,288.8263358,289.8061068,289.5330953,288.4046813,286.8729368,285.475716,,
137.39,286.5072799,288.7779887,289.7601966,289.5022151,288.3905543,286.8698731,285.4763875,,
138.77,286.4760819,288.7300182,289.7144193,289.4711624,288.3761018,286.8665183,285.4768766,,
140.14,286.445651,288.6831035,289.6694329,289.4403926,288.3615418,286.8629261,285.4771779,,
141.51,286.4157447,288.6368785,289.6248984,289.4096858,288.3467789,286.8590786,285.4772976,,
142.89,286.3861367,288.5909979,289.5804902,289.3788236,288.3317112,286.8549501,285.4772368,,
144.26,286.3572426,288.5461117,289.5368464,289.3482579,288.316565,286.8506057,285.4769985,,
145.64,286.3286278,288.50155,289.4933245,289.3175469,288.3011269,286.8459872,285.4765814,,
147.01,286.3006944,288.4579446,289.4505496,289.2871399,288.2856282,286.8411668,285.475994,,
148.39,286.2730224,288.4146451,289.4078919,289.2565969,288.2698499,286.8360792,285.4752299,,
149.76,286.2460014,288.3722656,289.3659641,289.2263642,288.2540277,286.8308033,285.4743028,,
151.13,286.219418,288.3304773,289.3244504,289.1962235,288.2380547,286.8253082,285.4732101,,
152.51,286.1930719,288.288969,289.2830469,289.1659592,288.2218194,286.8195565,285.4719445,,
153.88,286.1673345,288.24833,289.2423484,289.1360128,288.2055636,286.8136364,285.470527,,
155.26,286.1418198,288.207955,289.2017554,289.1059501,288.1890561,286.8074666,285.4689395,,
156.63,286.1168877,288.1684177,289.1618511,289.0762093,288.1725425,286.8011414,285.4672077,,
158.01,286.0921645,288.1291293,289.1220478,289.0463589,288.1557875,286.7945734,285.4653088,,
159.38,286.0679995,288.0906483,289.0829171,289.0168336,288.1390397,286.7878626,285.463273,,
160.75,286.0442031,288.0526775,289.0441643,288.987419,288.1221838,286.7809668,285.4610899,,
162.13,286.0205969,288.0149349,289.0055057,288.9579035,288.105101,286.7738384,285.4587446,,
163.5,285.9975147,287.9779573,288.9674965,288.9287169,288.088044,286.7665854,285.4562738,,
164.88,285.9746113,287.9411949,288.9295771,288.8994347,288.0707691,286.7591064,285.4536442,,
166.25,285.9522107,287.905171,288.892292,288.8704829,288.0535315,286.7515145,285.4508965,,
167.62,285.9301381,287.869608,288.8553605,288.8416505,288.0362113,286.7437604,285.448015,,
169,285.9082285,287.8342424,288.8185123,288.8127295,288.0186857,286.7357903,285.4449798,,
170.37,285.8867922,287.7995776,288.7822765,288.7841405,288.0012134,286.7277241,285.4418376,,
171.75,285.8655092,287.7650991,288.7461198,288.7554672,287.9835437,286.7194481,285.4385454,,
173.12,285.8446813,287.7312979,288.7105614,288.7271262,287.965937,286.7110868,285.4351535,,
