Date,25/02/2020,Inside/Outside,19.69/5.38
Time,Temperature,,
236833,279.28,,
237084,279.28,,
237335,279.21,,
237586,279.21,,
237838,279.28,,
238089,279.28,,
238340,279.28,,
238592,279.21,,
238842,279.28,,
239093,279.28,,
239344,279.28,,
239596,279.21,,
239847,279.21,,
240098,279.28,,
240350,279.21,,
240601,279.28,,
240851,279.21,,
241102,279.28,,
241354,279.28,,
241605,279.21,,
241856,279.28,,
242108,279.21,,
242359,279.21,,
242610,279.21,,
242861,279.21,,
243112,279.21,,
243363,279.21,,
243614,279.21,,
243866,279.21,,
244117,279.21,,
244368,279.21,,
244619,279.15,,
244871,279.21,,
245122,279.21,,
245372,279.21,,
245624,279.21,,
245875,279.21,,
246126,279.21,,
246377,279.21,,
246629,279.15,,
246880,279.21,,
247131,279.21,,
247383,279.21,,
247633,279.21,,
247884,279.21,,
248135,279.21,,
248387,279.15,,
248638,279.21,,
248889,279.21,,
249141,279.21,,
249392,279.15,,
249643,279.15,,
249893,279.21,,
250145,279.21,,
250396,279.21,,
250647,279.21,,
250899,279.21,,
251150,279.21,,
251401,279.15,,
251652,279.15,,
251904,279.15,,
252154,279.21,,
252405,279.21,,
252657,279.21,,
252908,279.21,,
253159,279.15,,
253410,279.21,,
253662,279.21,,
253913,279.15,,
254163,279.21,,
254415,279.21,,
254666,279.21,,
254917,279.15,,
255168,279.15,,
255420,279.15,,
255671,279.21,,
255922,279.21,,
256173,279.15,,
256424,279.21,,
256675,279.21,,
256926,279.15,,
257178,279.21,,
257429,279.15,,
257680,279.15,,
257931,279.15,,
258183,279.15,,
258434,279.21,,
258684,279.15,,
258936,279.15,,
259187,279.21,,
259438,279.15,,
259689,279.15,,
259941,279.21,,
260192,279.15,,
260443,279.15,,
260695,279.15,,
260945,279.15,,
261196,279.15,,
261447,279.15,,
261699,279.15,,
261950,279.15,,
262201,279.15,,
262453,279.15,,
262704,279.15,,
262955,279.15,,
263205,279.15,,
263457,279.15,,
263708,279.15,,
263959,279.15,,
264211,279.15,,
264462,279.15,,
264713,279.15,,
264964,279.15,,
265216,279.15,,
265466,279.15,,
265717,279.09,,
265968,279.09,,
266220,279.15,,
266471,279.15,,
266722,279.15,,
266974,279.15,,
267225,279.09,,
267475,279.09,,
267726,279.15,,
267978,279.09,,
268229,279.15,,
268480,279.15,,
268732,279.09,,
268983,279.09,,
269234,279.15,,
269485,279.15,,
269736,279.09,,
269987,279.09,,
270238,279.15,,
270490,279.09,,
270741,279.15,,
270992,279.09,,
271243,279.09,,
271495,279.15,,
271746,279.09,,
