Date,24/02/2020,Inside/Outside,20.50/6.94
Time,Temperature
174046.0,281.28
174298.0,281.34
174548.0,281.28
174799.0,281.28
175051.0,281.34
175302.0,281.28
175553.0,281.34
175804.0,281.28
176056.0,281.28
176307.0,281.28
176558.0,281.28
176809.0,281.28
177060.0,281.28
177311.0,281.21
177562.0,281.21
177814.0,281.21
178065.0,281.28
178316.0,281.28
178568.0,281.28
178819.0,281.21
179069.0,281.28
179320.0,281.21
179572.0,281.21
179823.0,281.21
180074.0,281.21
180326.0,281.21
180577.0,281.21
180828.0,281.21
181079.0,281.21
181330.0,281.21
181581.0,281.21
181832.0,281.21
182084.0,281.15
182335.0,281.15
182586.0,281.21
182837.0,281.15
183089.0,281.15
183340.0,281.15
183590.0,281.15
183842.0,281.15
184093.0,281.15
184344.0,281.15
184595.0,281.15
184847.0,281.15
185098.0,281.15
185349.0,281.15
185601.0,281.15
185851.0,281.09
186102.0,281.15
186353.0,281.15
186605.0,281.15
186856.0,281.15
187107.0,281.09
187359.0,281.09
187610.0,281.09
187860.0,281.09
188111.0,281.15
188363.0,281.09
188614.0,281.09
188865.0,281.15
189117.0,281.09
189368.0,281.09
189619.0,281.09
189870.0,281.09
190121.0,281.03
190372.0,281.03
190623.0,281.09
190875.0,281.03
191126.0,281.03
191377.0,281.09
191628.0,281.03
191880.0,281.03
192131.0,281.03
192381.0,281.03
192633.0,281.03
192884.0,281.03
193135.0,281.09
193386.0,281.03
193638.0,281.03
193889.0,281.03
194140.0,281.03
194392.0,281.03
194642.0,281.03
194893.0,281.03
195144.0,281.03
195396.0,281.03
195647.0,281.03
195898.0,281.03
196150.0,280.96
196401.0,280.96
196652.0,281.03
196902.0,280.96
197154.0,280.96
197405.0,281.03
197656.0,280.96
197908.0,280.96
198159.0,280.96
198410.0,280.96
198662.0,280.96
198913.0,280.96
199163.0,281.03
199414.0,280.96
199666.0,280.96
199917.0,280.9
200168.0,280.9
200420.0,280.96
200671.0,280.9
200922.0,280.96
201172.0,280.96
201424.0,280.96
201675.0,280.9
201926.0,280.96
202178.0,280.9
202429.0,280.9
202680.0,280.96
202931.0,280.9
203183.0,280.96
203433.0,280.9
203684.0,280.96
203936.0,280.9
204187.0,280.9
204438.0,280.9
204689.0,280.9
204941.0,280.9
205192.0,280.9
205443.0,280.9
205694.0,280.9
205945.0,280.9
206196.0,280.9
206447.0,280.9
206699.0,280.9
206950.0,280.84
