Date,01/02/2020,Material,Brass,3min6s,,,,
Time,TempOne,TempTwo,TempThree,TempFour,TempFive,TempSix,TempSeven,Atmospheric
48151,304.84,286.96,286.21,285.65,285.4,285.34,285.15,284.84
48288,304.84,287.03,286.15,285.65,285.4,285.28,285.09,284.84
48425,304.84,287.03,286.15,285.65,285.4,285.28,285.09,284.84
48563,304.84,287.03,286.15,285.65,285.4,285.28,285.15,284.84
48700,304.9,287.03,286.15,285.65,285.4,285.28,285.15,284.84
48838,304.9,287.03,286.15,285.65,285.4,285.34,285.09,284.84
48975,304.96,287.03,286.15,285.65,285.4,285.34,285.09,284.78
49113,304.96,287.09,286.15,285.65,285.34,285.34,285.09,284.78
49250,305.02,287.09,286.15,285.65,285.34,285.34,285.09,284.78
49387,305.02,287.09,286.15,285.65,285.4,285.34,285.09,284.78
49524,305.09,287.09,286.15,285.65,285.34,285.34,285.09,284.78
49662,305.09,287.09,286.15,285.71,285.34,285.34,285.09,284.78
49800,305.09,287.15,286.15,285.71,285.34,285.34,285.09,284.78
49937,305.15,287.15,286.15,285.65,285.34,285.34,285.09,284.78
50074,305.15,287.15,286.09,285.65,285.4,285.34,285.09,284.78
50211,305.21,287.15,286.09,285.59,285.4,285.34,285.09,284.84
50349,305.21,287.15,286.09,285.59,285.34,285.34,285.15,284.84
50486,305.21,287.15,286.15,285.65,285.34,285.34,285.15,284.78
50624,305.21,287.21,286.15,285.65,285.4,285.28,285.09,284.78
50761,305.28,287.28,286.15,285.65,285.4,285.28,285.09,284.78
50898,305.28,287.28,286.15,285.65,285.4,285.28,285.15,284.78
51036,305.28,287.21,286.09,285.65,285.4,285.28,285.15,284.78
51173,305.28,287.21,286.09,285.65,285.4,285.34,285.15,284.78
51310,305.28,287.34,286.15,285.65,285.4,285.34,285.15,284.78
51447,305.34,287.34,286.15,285.65,285.4,285.28,285.09,284.78
51586,305.34,287.34,286.15,285.65,285.4,285.28,285.09,284.84
51723,305.4,287.34,286.15,285.65,285.34,285.28,285.09,284.84
51860,305.4,287.28,286.15,285.59,285.34,285.28,285.09,284.84
51997,305.4,287.34,286.09,285.59,285.4,285.34,285.09,284.78
52134,305.4,287.34,286.09,285.65,285.4,285.28,285.09,284.78
52272,305.4,287.34,286.09,285.65,285.34,285.28,285.09,284.78
52410,305.4,287.34,286.09,285.65,285.4,285.34,285.09,284.78
52547,305.4,287.4,286.15,285.65,285.4,285.34,285.09,284.78
52684,305.4,287.4,286.15,285.65,285.34,285.28,285.09,284.78
52822,305.4,287.4,286.15,285.65,285.34,285.28,285.09,284.71
52959,305.4,287.4,286.15,285.59,285.34,285.28,285.09,284.71
53096,305.4,287.46,286.15,285.59,285.34,285.28,285.09,284.78
53233,305.46,287.46,286.09,285.65,285.34,285.34,285.09,284.78
53371,305.46,287.46,286.09,285.65,285.34,285.34,285.09,284.78
53509,305.46,287.53,286.15,285.59,285.34,285.28,285.09,284.78
53646,305.46,287.53,286.15,285.59,285.34,285.28,285.09,284.78
53783,305.46,287.53,286.09,285.65,285.34,285.34,285.09,284.78
53920,305.46,287.53,286.09,285.65,285.34,285.34,285.09,284.78
54057,305.46,287.53,286.09,285.65,285.34,285.28,285.15,284.78
54196,305.46,287.53,286.09,285.65,285.34,285.28,285.15,284.78
54333,305.53,287.53,286.15,285.59,285.34,285.34,285.09,284.78
