Date,19/02/2020,Material,Aluminum,,,,,
Time,TempOne,TempTwo,TempThree,TempFour,TempFive,TempSix,TempSeven,Atmospheric
44019,328.53,314.15,303.96,296.02,290.46,286.78,285.15,280.21
44156,328.53,314.09,303.96,296.09,290.46,286.78,285.15,280.21
44294,328.53,314.09,303.96,296.09,290.46,286.78,285.15,280.21
44431,328.53,314.09,303.96,296.02,290.52,286.78,285.21,280.21
44568,328.4,314.09,303.96,296.02,290.52,286.78,285.21,280.28
44706,328.4,314.03,304.02,296.02,290.52,286.78,285.21,280.28
44844,328.4,314.03,304.02,296.09,290.52,286.78,285.21,280.21
44981,328.4,314.03,304.02,296.09,290.52,286.78,285.21,280.28
45118,328.28,314.03,303.96,296.09,290.52,286.78,285.21,280.28
45255,328.28,314.03,303.96,296.09,290.52,286.78,285.21,280.21
45392,328.28,314.03,303.96,296.15,290.59,286.84,285.21,280.21
45530,328.28,314.03,303.96,296.15,290.59,286.84,285.21,280.28
45667,328.28,314.03,304.02,296.09,290.52,286.84,285.21,280.28
45804,328.21,314.03,304.02,296.09,290.52,286.84,285.21,280.28
45942,328.21,313.96,303.96,296.09,290.52,286.84,285.28,280.28
46080,328.15,314.03,303.96,296.09,290.52,286.84,285.28,280.28
46217,328.15,314.03,303.96,296.15,290.59,286.84,285.21,280.21
46354,328.15,313.96,303.96,296.15,290.59,286.84,285.28,280.21
46491,328.03,313.96,303.96,296.15,290.59,286.84,285.28,280.21
46628,328.03,313.96,303.96,296.15,290.65,286.84,285.21,280.21
46766,328.03,313.96,303.96,296.15,290.65,286.9,285.21,280.28
46903,328.03,313.96,304.02,296.15,290.59,286.9,285.21,280.21
47040,327.96,313.96,304.02,296.15,290.59,286.9,285.21,280.21
47178,327.96,313.96,304.02,296.21,290.65,286.9,285.28,280.28
47315,327.9,313.9,304.02,296.21,290.65,286.9,285.28,280.28
47453,327.9,313.9,304.02,296.15,290.65,286.9,285.28,280.21
47590,327.9,313.9,304.02,296.15,290.65,286.9,285.28,280.21
47727,327.78,313.9,304.02,296.21,290.65,286.9,285.28,280.21
47864,327.78,313.9,304.02,296.21,290.65,286.96,285.28,280.21
48002,327.78,313.78,304.02,296.21,290.65,286.9,285.28,280.21
48139,327.78,313.78,304.02,296.21,290.65,286.9,285.34,280.21
48276,327.71,313.84,304.02,296.21,290.65,286.9,285.34,280.21
48414,327.71,313.84,304.02,296.21,290.71,286.9,285.28,280.21
48551,327.59,313.84,304.02,296.21,290.71,286.96,285.34,280.21
48689,327.59,313.84,304.02,296.21,290.65,286.96,285.34,280.21
48826,327.53,313.84,304.02,296.21,290.65,286.96,285.28,280.21
48963,327.59,313.78,303.96,296.21,290.71,286.96,285.28,280.21
49100,327.59,313.78,303.96,296.21,290.71,286.96,285.34,280.21
49238,327.46,313.71,303.96,296.27,290.71,286.96,285.34,280.21
49375,327.46,313.71,303.96,296.27,290.71,286.96,285.34,280.28
49512,327.4,313.78,304.02,296.27,290.71,286.96,285.34,280.28
49650,327.4,313.78,304.02,296.27,290.71,286.96,285.34,280.28
49787,327.4,313.78,304.02,296.27,290.71,286.96,285.34,280.21
