Date,01/02/2020,Material,Brass,3min47s,,,,
Time,TempOne,TempTwo,TempThree,TempFour,TempFive,TempSix,TempSeven,Atmospheric
57218,292.4,286.21,285.28,285.46,285.46,285.65,285.65,284.84
57355,292.34,286.21,285.28,285.46,285.4,285.65,285.65,284.84
57492,292.4,286.21,285.28,285.46,285.4,285.65,285.71,284.78
57630,292.4,286.21,285.28,285.46,285.4,285.59,285.71,284.78
57767,292.4,286.28,285.34,285.46,285.4,285.59,285.65,284.84
57905,292.4,286.28,285.34,285.46,285.4,285.59,285.65,284.84
58042,292.4,286.28,285.34,285.46,285.4,285.65,285.65,284.84
58179,292.4,286.28,285.34,285.46,285.4,285.65,285.65,284.84
58316,292.46,286.28,285.34,285.46,285.46,285.65,285.65,284.84
58455,292.46,286.28,285.28,285.46,285.46,285.65,285.65,284.84
58592,292.52,286.28,285.28,285.46,285.4,285.65,285.65,284.84
58729,292.59,286.28,285.28,285.46,285.4,285.65,285.65,284.84
58866,292.59,286.28,285.28,285.46,285.4,285.59,285.65,284.84
59003,292.65,286.28,285.34,285.53,285.4,285.59,285.65,284.84
59141,292.65,286.34,285.34,285.53,285.4,285.65,285.65,284.84
59278,292.65,286.34,285.34,285.46,285.46,285.65,285.65,284.84
59416,292.65,286.28,285.28,285.46,285.46,285.65,285.65,284.84
59553,292.77,286.28,285.28,285.46,285.4,285.59,285.65,284.84
59691,292.9,286.28,285.28,285.46,285.4,285.59,285.65,284.84
59828,292.9,286.28,285.28,285.46,285.4,285.65,285.65,284.84
59965,293.02,286.34,285.34,285.46,285.4,285.65,285.65,284.84
60102,293.02,286.34,285.34,285.46,285.4,285.59,285.65,284.84
60240,293.21,286.34,285.34,285.46,285.4,285.59,285.65,284.84
60378,293.21,286.34,285.34,285.46,285.4,285.59,285.65,284.78
60515,293.34,286.34,285.34,285.46,285.4,285.59,285.65,284.78
60652,293.46,286.34,285.34,285.46,285.4,285.59,285.65,284.84
60789,293.46,286.34,285.34,285.53,285.4,285.59,285.65,284.84
60926,293.52,286.34,285.34,285.53,285.4,285.59,285.65,284.84
61064,293.52,286.34,285.34,285.46,285.4,285.59,285.65,284.84
61202,293.59,286.34,285.34,285.46,285.4,285.59,285.65,284.84
61339,293.59,286.4,285.34,285.46,285.4,285.59,285.65,284.78
61476,293.71,286.4,285.34,285.46,285.4,285.59,285.59,284.78
61614,293.84,286.4,285.4,285.46,285.4,285.59,285.59,284.84
61751,293.84,286.4,285.4,285.46,285.4,285.59,285.65,284.84
61888,293.96,286.4,285.28,285.53,285.4,285.59,285.65,284.84
62026,293.96,286.4,285.28,285.53,285.46,285.59,285.65,284.84
62163,294.09,286.4,285.34,285.46,285.46,285.59,285.65,284.84
62301,294.09,286.4,285.4,285.46,285.4,285.65,285.65,284.84
62438,294.21,286.4,285.4,285.46,285.4,285.65,285.65,284.84
62575,294.21,286.46,285.34,285.46,285.4,285.65,285.65,284.84
62712,294.34,286.46,285.34,285.46,285.4,285.65,285.59,284.84
62851,294.46,286.46,285.4,285.46,285.46,285.59,285.59,284.84
62988,294.46,286.46,285.4,285.46,285.46,285.59,285.59,284.84
63125,294.52,286.46,285.34,285.46,285.4,285.59,285.65,284.78
63262,294.52,286.53,285.34,285.46,285.4,285.65,285.65,284.78
63399,294.65,286.53,285.34,285.46,285.4,285.65,285.65,284.84
63537,294.65,286.53,285.4,285.46,285.46,285.59,285.65,284.84
63674,294.84,286.53,285.4,285.46,285.46,285.59,285.65,284.84
63812,294.96,286.53,285.34,285.46,285.4,285.65,285.65,284.84
63949,294.96,286.53,285.34,285.46,285.4,285.65,285.59,284.84
64087,295.02,286.53,285.4,285.46,285.46,285.59,285.59,284.84
64224,295.02,286.59,285.34,285.53,285.46,285.59,285.59,284.84
64361,295.15,286.59,285.34,285.53,285.4,285.59,285.65,284.9
64498,295.15,286.59,285.4,285.46,285.4,285.59,285.65,284.84
64636,295.34,286.59,285.4,285.53,285.4,285.59,285.65,284.84
64774,295.4,286.59,285.4,285.53,285.4,285.59,285.65,284.84
64911,295.4,286.59,285.4,285.46,285.4,285.59,285.65,284.84
65048,295.52,286.59,285.4,285.46,285.46,285.65,285.65,284.84
65185,295.52,286.59,285.4,285.53,285.46,285.65,285.65,284.84
65323,295.59,286.59,285.4,285.53,285.46,285.65,285.65,284.9
65460,295.59,286.65,285.4,285.46,285.46,285.65,285.59,284.84
65598,295.77,286.65,285.4,285.46,285.4,285.59,285.65,284.84
